bar_time,ticks_in_bar,open,high,low,idx_high,idx_low,order,running_hash
2026.07.09 03:55:00,1047,1.14234,1.14262,1.14230,764,42,LOW_FIRST,18303091468379803963
2026.07.09 04:00:00,1452,1.14257,1.14275,1.14241,469,1010,HIGH_FIRST,1556371174884991696
2026.07.09 04:05:00,1016,1.14246,1.14258,1.14236,874,65,LOW_FIRST,16750552549441891817
2026.07.09 04:10:00,963,1.14255,1.14258,1.14226,6,920,HIGH_FIRST,714166481706930002
2026.07.09 04:15:00,925,1.14230,1.14244,1.14227,208,19,LOW_FIRST,12205772796322724305
2026.07.09 04:20:00,893,1.14240,1.14248,1.14229,57,445,HIGH_FIRST,7866147081248814240
2026.07.09 04:25:00,564,1.14235,1.14239,1.14208,220,527,HIGH_FIRST,12012632359761593027
2026.07.09 04:30:00,851,1.14218,1.14228,1.14199,746,237,LOW_FIRST,1744033598744948685
2026.07.09 04:35:00,882,1.14225,1.14256,1.14223,678,6,LOW_FIRST,11907086029507675346
2026.07.09 04:40:00,831,1.14241,1.14242,1.14228,403,785,HIGH_FIRST,3911436949913461443
2026.07.09 04:45:00,761,1.14236,1.14236,1.14208,0,447,HIGH_FIRST,4621193117740998709
2026.07.09 04:50:00,744,1.14226,1.14230,1.14216,81,538,HIGH_FIRST,4643774372583682773
2026.07.09 04:55:00,1040,1.14222,1.14263,1.14222,943,0,LOW_FIRST,2725946247717627707
2026.07.09 05:00:00,1111,1.14256,1.14274,1.14255,1023,49,LOW_FIRST,15651426848993590819
2026.07.09 05:05:00,996,1.14268,1.14284,1.14260,727,354,LOW_FIRST,16499293597291501699
2026.07.09 05:10:00,833,1.14271,1.14279,1.14258,110,557,HIGH_FIRST,10446536272077240975
2026.07.09 05:15:00,734,1.14273,1.14285,1.14268,234,136,LOW_FIRST,17966660510629643415
2026.07.09 05:20:00,607,1.14273,1.14276,1.14266,4,164,HIGH_FIRST,2873050572644567765
2026.07.09 05:25:00,739,1.14269,1.14275,1.14257,60,154,HIGH_FIRST,5652913694986454833
2026.07.09 05:30:00,833,1.14262,1.14269,1.14246,92,828,HIGH_FIRST,5118147390616111581
2026.07.09 05:35:00,887,1.14247,1.14258,1.14231,641,166,LOW_FIRST,11336284935027241436
2026.07.09 05:40:00,929,1.14249,1.14253,1.14237,486,238,LOW_FIRST,10757134532593377740
2026.07.09 05:45:00,800,1.14249,1.14274,1.14248,726,3,LOW_FIRST,203403645571897748
2026.07.09 05:50:00,799,1.14268,1.14275,1.14249,143,784,HIGH_FIRST,12611573458557890826
2026.07.09 05:55:00,674,1.14254,1.14260,1.14242,116,648,HIGH_FIRST,8317960987545433310
2026.07.09 06:00:00,741,1.14244,1.14255,1.14241,708,5,LOW_FIRST,14810405738440341154
2026.07.09 06:05:00,700,1.14254,1.14262,1.14251,590,36,LOW_FIRST,16830045470589889458
