bar_time,ticks_in_bar,open,high,low,idx_high,idx_low,order,running_hash
2026.07.09 05:30:00,683,1.14262,1.14269,1.14246,137,652,HIGH_FIRST,3249830647744635413
2026.07.09 05:35:00,726,1.14247,1.14258,1.14231,562,89,LOW_FIRST,2299074032790306022
2026.07.09 05:40:00,699,1.14249,1.14253,1.14237,388,173,LOW_FIRST,15286369683767883851
2026.07.09 05:45:00,638,1.14249,1.14274,1.14248,584,2,LOW_FIRST,18054436181845262039
2026.07.09 05:50:00,638,1.14268,1.14275,1.14249,37,611,HIGH_FIRST,7054188724720779576
2026.07.09 05:55:00,531,1.14254,1.14260,1.14242,155,508,HIGH_FIRST,10535128351404969258
2026.07.09 06:00:00,580,1.14244,1.14255,1.14241,554,16,LOW_FIRST,17513038845463430108
2026.07.09 06:05:00,604,1.14254,1.14262,1.14251,571,10,LOW_FIRST,5584275344814065034
2026.07.09 06:10:00,635,1.14259,1.14262,1.14247,581,329,LOW_FIRST,6375870849577371345
2026.07.09 06:15:00,659,1.14257,1.14257,1.14230,0,444,HIGH_FIRST,17838457471848043459
2026.07.09 06:20:00,658,1.14239,1.14245,1.14218,629,497,LOW_FIRST,5073732288584307373
2026.07.09 06:25:00,493,1.14243,1.14269,1.14241,155,8,LOW_FIRST,17899354641417110243
2026.07.09 06:30:00,818,1.14265,1.14304,1.14260,604,16,LOW_FIRST,9167760371404514245
2026.07.09 06:35:00,670,1.14284,1.14305,1.14281,463,17,LOW_FIRST,10306083796912500756
2026.07.09 06:40:00,575,1.14298,1.14302,1.14270,34,495,HIGH_FIRST,8891259551034939111
2026.07.09 06:45:00,449,1.14282,1.14282,1.14261,0,425,HIGH_FIRST,6295763154622629915
2026.07.09 06:50:00,524,1.14262,1.14290,1.14259,437,10,LOW_FIRST,1080023641172741202
2026.07.09 06:55:00,519,1.14283,1.14286,1.14264,10,346,HIGH_FIRST,11725597377646713631
2026.07.09 07:00:00,712,1.14268,1.14272,1.14248,46,558,HIGH_FIRST,244173991224555348
2026.07.09 07:05:00,560,1.14261,1.14275,1.14261,313,0,LOW_FIRST,10989973742000958006
2026.07.09 07:10:00,555,1.14270,1.14274,1.14256,95,323,HIGH_FIRST,12390437227668220599
2026.07.09 07:15:00,473,1.14265,1.14266,1.14232,9,346,HIGH_FIRST,3673042802824805190
2026.07.09 07:20:00,483,1.14233,1.14259,1.14231,389,10,LOW_FIRST,13633975971275313600
2026.07.09 07:25:00,473,1.14252,1.14261,1.14250,333,373,HIGH_FIRST,9797522063616852221
2026.07.09 07:30:00,471,1.14255,1.14271,1.14252,334,13,LOW_FIRST,11423026488214728422
2026.07.09 07:35:00,404,1.14264,1.14268,1.14253,16,404,HIGH_FIRST,2624834748820018391
2026.07.09 07:40:00,499,1.14253,1.14259,1.14249,73,263,HIGH_FIRST,16183797079626484743
2026.07.09 07:45:00,360,1.14256,1.14264,1.14252,169,48,LOW_FIRST,3527368153129231777
2026.07.09 07:50:00,468,1.14261,1.14273,1.14255,430,375,LOW_FIRST,3172855724738765717
2026.07.09 07:55:00,394,1.14271,1.14274,1.14264,171,210,HIGH_FIRST,7686981553584143020
2026.07.09 08:00:00,641,1.14267,1.14281,1.14264,211,15,LOW_FIRST,10586534634561757782
2026.07.09 08:05:00,622,1.14270,1.14277,1.14264,502,56,LOW_FIRST,4610349508021613112
2026.07.09 08:10:00,1461,1.14270,1.14341,1.14260,1181,37,LOW_FIRST,8376658142716470092
2026.07.09 08:15:00,987,1.14320,1.14331,1.14292,64,696,HIGH_FIRST,13920760641981516765
2026.07.09 08:20:00,597,1.14304,1.14307,1.14284,559,500,LOW_FIRST,3763435756510726284
2026.07.09 08:25:00,625,1.14302,1.14328,1.14301,582,9,LOW_FIRST,9820208900742957128
2026.07.09 08:30:00,790,1.14323,1.14334,1.14308,790,194,LOW_FIRST,7703910103474185560
2026.07.09 08:35:00,731,1.14334,1.14335,1.14318,2,399,HIGH_FIRST,10457733820607531486
2026.07.09 08:40:00,757,1.14332,1.14333,1.14298,13,431,HIGH_FIRST,8127657342684000864
2026.07.09 08:45:00,614,1.14317,1.14330,1.14314,614,96,LOW_FIRST,14917507826915171973
2026.07.09 08:50:00,624,1.14330,1.14338,1.14320,57,334,HIGH_FIRST,520385837304034105
2026.07.09 08:55:00,734,1.14327,1.14327,1.14292,0,587,HIGH_FIRST,11406410407954302188
2026.07.09 09:00:00,1030,1.14308,1.14370,1.14308,606,0,LOW_FIRST,15147313239085147366
2026.07.09 09:05:00,1035,1.14358,1.14364,1.14344,467,263,LOW_FIRST,3243401996145227578
2026.07.09 09:10:00,974,1.14359,1.14361,1.14328,22,909,HIGH_FIRST,8806279998369874997
2026.07.09 09:15:00,1097,1.14344,1.14369,1.14337,428,76,LOW_FIRST,1081993865045934213
2026.07.09 09:20:00,1409,1.14359,1.14456,1.14355,1198,52,LOW_FIRST,7464276741419849440
2026.07.09 09:25:00,1434,1.14441,1.14477,1.14435,712,34,LOW_FIRST,1956668098509816418
2026.07.09 09:30:00,1598,1.14469,1.14495,1.14449,1223,204,LOW_FIRST,5970398562746907931
2026.07.09 09:35:00,1181,1.14490,1.14492,1.14424,30,932,HIGH_FIRST,9940608254274248078
2026.07.09 09:40:00,1062,1.14448,1.14457,1.14416,1003,351,LOW_FIRST,10121832679088198534
2026.07.09 09:45:00,953,1.14455,1.14459,1.14424,76,909,HIGH_FIRST,12237876967761504633
2026.07.09 09:50:00,730,1.14435,1.14448,1.14404,310,538,HIGH_FIRST,10058356940172234339
2026.07.09 09:55:00,959,1.14409,1.14424,1.14392,111,529,HIGH_FIRST,7924319986206163154
