bar_time,ticks_in_bar,open,high,low,idx_high,idx_low,order,running_hash
2026.07.09 02:25:00,20,1.14178,1.14187,1.14170,15,18,HIGH_FIRST,6711768796210659792
2026.07.09 02:30:00,20,1.14185,1.14193,1.14180,15,7,LOW_FIRST,11275324379260840814
2026.07.09 02:35:00,20,1.14189,1.14202,1.14187,3,11,HIGH_FIRST,10255763449849520361
2026.07.09 02:40:00,20,1.14195,1.14209,1.14191,19,2,LOW_FIRST,16555898015420378722
2026.07.09 02:45:00,20,1.14205,1.14215,1.14202,3,2,LOW_FIRST,1348678839793219080
2026.07.09 02:50:00,20,1.14210,1.14211,1.14191,2,15,HIGH_FIRST,6674820633287820774
2026.07.09 02:55:00,20,1.14205,1.14225,1.14201,11,2,LOW_FIRST,1606951217504841673
2026.07.09 03:00:00,20,1.14213,1.14243,1.14211,19,2,LOW_FIRST,5015804421413702720
2026.07.09 03:05:00,20,1.14241,1.14265,1.14239,11,2,LOW_FIRST,8549913437463501388
2026.07.09 03:10:00,20,1.14254,1.14290,1.14253,11,2,LOW_FIRST,8405408931190788559
2026.07.09 03:15:00,20,1.14279,1.14286,1.14259,3,19,HIGH_FIRST,4601546606984388928
2026.07.09 03:20:00,20,1.14263,1.14274,1.14252,3,14,HIGH_FIRST,11927786618585937208
2026.07.09 03:25:00,20,1.14266,1.14280,1.14264,19,2,LOW_FIRST,14017563356498374875
2026.07.09 03:30:00,20,1.14276,1.14304,1.14272,14,10,LOW_FIRST,8469653790167829381
2026.07.09 03:35:00,20,1.14293,1.14300,1.14288,7,3,LOW_FIRST,13139396763870695929
2026.07.09 03:40:00,20,1.14289,1.14296,1.14252,3,19,HIGH_FIRST,1059346962748417989
2026.07.09 03:45:00,20,1.14266,1.14271,1.14255,18,10,LOW_FIRST,3896773468615313289
2026.07.09 03:50:00,20,1.14260,1.14264,1.14231,2,19,HIGH_FIRST,5377583757416072269
2026.07.09 03:55:00,20,1.14234,1.14262,1.14230,15,2,LOW_FIRST,7753556181951291234
2026.07.09 04:00:00,20,1.14257,1.14275,1.14241,7,15,HIGH_FIRST,5839525837513859977
2026.07.09 04:05:00,20,1.14246,1.14258,1.14236,19,3,LOW_FIRST,2305772732952344743
2026.07.09 04:10:00,20,1.14255,1.14258,1.14226,2,18,HIGH_FIRST,13808905960454563594
2026.07.09 04:15:00,20,1.14230,1.14244,1.14227,3,2,LOW_FIRST,9142574133278975178
2026.07.09 04:20:00,20,1.14240,1.14248,1.14229,2,7,HIGH_FIRST,1141843963920841937
2026.07.09 04:25:00,20,1.14235,1.14239,1.14208,6,19,HIGH_FIRST,10830170086260401277
2026.07.09 04:30:00,20,1.14218,1.14228,1.14199,19,7,LOW_FIRST,73216339825093823
2026.07.09 04:35:00,20,1.14225,1.14256,1.14223,18,2,LOW_FIRST,14025546066857445460
2026.07.09 04:40:00,20,1.14241,1.14242,1.14228,10,18,HIGH_FIRST,15748544658055034350
2026.07.09 04:45:00,20,1.14236,1.14236,1.14208,0,14,HIGH_FIRST,9311750589458648636
2026.07.09 04:50:00,20,1.14226,1.14230,1.14216,3,15,HIGH_FIRST,12071287241443692355
2026.07.09 04:55:00,20,1.14222,1.14263,1.14222,19,0,LOW_FIRST,14490378093149493460
2026.07.09 05:00:00,20,1.14256,1.14274,1.14255,19,2,LOW_FIRST,17005737888645774585
2026.07.09 05:05:00,20,1.14268,1.14284,1.14260,15,10,LOW_FIRST,7616336242568780394
2026.07.09 05:10:00,20,1.14271,1.14279,1.14258,3,14,HIGH_FIRST,9724768848524512565
2026.07.09 05:15:00,20,1.14273,1.14285,1.14268,6,2,LOW_FIRST,3650642312590520460
2026.07.09 05:20:00,20,1.14273,1.14276,1.14266,2,7,HIGH_FIRST,17973923607420489063
2026.07.09 05:25:00,20,1.14269,1.14275,1.14257,2,6,HIGH_FIRST,2303243885301232428
2026.07.09 05:30:00,20,1.14262,1.14269,1.14246,3,19,HIGH_FIRST,13832233233509653792
2026.07.09 05:35:00,20,1.14247,1.14258,1.14231,15,3,LOW_FIRST,4720291990739497075
2026.07.09 05:40:00,20,1.14249,1.14253,1.14237,11,6,LOW_FIRST,8601240652036051404
2026.07.09 05:45:00,20,1.14249,1.14274,1.14248,19,2,LOW_FIRST,12393395504949582886
2026.07.09 05:50:00,20,1.14268,1.14275,1.14249,2,19,HIGH_FIRST,6482405038475212114
2026.07.09 05:55:00,20,1.14254,1.14260,1.14242,3,19,HIGH_FIRST,15062098500114618794
2026.07.09 06:00:00,20,1.14244,1.14255,1.14241,19,2,LOW_FIRST,892227218693536004
2026.07.09 06:05:00,20,1.14254,1.14262,1.14251,19,2,LOW_FIRST,4189078028985314640
2026.07.09 06:10:00,20,1.14259,1.14262,1.14247,19,11,LOW_FIRST,5295641010195328139
2026.07.09 06:15:00,20,1.14257,1.14257,1.14230,0,14,HIGH_FIRST,11221831494009545768
2026.07.09 06:20:00,20,1.14239,1.14245,1.14218,19,15,LOW_FIRST,9646872077526369130
2026.07.09 06:25:00,20,1.14243,1.14269,1.14241,7,2,LOW_FIRST,17199271976368783296
2026.07.09 06:30:00,20,1.14265,1.14304,1.14260,15,2,LOW_FIRST,2222171887853508198
2026.07.09 06:35:00,20,1.14284,1.14305,1.14281,14,2,LOW_FIRST,1671108328450107734
2026.07.09 06:40:00,20,1.14298,1.14302,1.14270,2,18,HIGH_FIRST,2289651777730898130
2026.07.09 06:45:00,20,1.14282,1.14282,1.14261,0,19,HIGH_FIRST,18123628111731609562
2026.07.09 06:50:00,20,1.14262,1.14290,1.14259,15,2,LOW_FIRST,8254059889575201371
2026.07.09 06:55:00,20,1.14283,1.14286,1.14264,2,14,HIGH_FIRST,9797869856334830046
2026.07.09 07:00:00,20,1.14268,1.14272,1.14248,2,15,HIGH_FIRST,12381235996631953725
2026.07.09 07:05:00,20,1.14261,1.14275,1.14261,11,0,LOW_FIRST,13482231129498090063
2026.07.09 07:10:00,20,1.14270,1.14274,1.14256,3,14,HIGH_FIRST,10896340329902066867
2026.07.09 07:15:00,20,1.14265,1.14266,1.14232,2,15,HIGH_FIRST,14274489599450489362
2026.07.09 07:20:00,20,1.14233,1.14259,1.14231,15,2,LOW_FIRST,3662447464496548608
2026.07.09 07:25:00,20,1.14252,1.14261,1.14250,14,15,HIGH_FIRST,2759815247044158810
2026.07.09 07:30:00,20,1.14255,1.14271,1.14252,14,2,LOW_FIRST,5636163634724836472
2026.07.09 07:35:00,20,1.14264,1.14268,1.14253,2,19,HIGH_FIRST,3176441955897043976
2026.07.09 07:40:00,20,1.14253,1.14259,1.14249,3,11,HIGH_FIRST,13198958321990242118
2026.07.09 07:45:00,20,1.14256,1.14264,1.14252,7,3,LOW_FIRST,312084371659656299
2026.07.09 07:50:00,20,1.14261,1.14273,1.14255,19,18,LOW_FIRST,9593945093501706546
2026.07.09 07:55:00,20,1.14271,1.14274,1.14264,14,15,HIGH_FIRST,9305646975535009008
2026.07.09 08:00:00,20,1.14267,1.14281,1.14264,6,2,LOW_FIRST,1289254078507105445
2026.07.09 08:05:00,20,1.14270,1.14277,1.14264,18,3,LOW_FIRST,4809360372551289637
2026.07.09 08:10:00,20,1.14270,1.14341,1.14260,15,2,LOW_FIRST,16439223409975006250
2026.07.09 08:15:00,20,1.14320,1.14331,1.14292,2,15,HIGH_FIRST,14300434416086378444
2026.07.09 08:20:00,20,1.14304,1.14307,1.14284,19,18,LOW_FIRST,10017469672901360099
2026.07.09 08:25:00,20,1.14302,1.14328,1.14301,19,2,LOW_FIRST,11438399039724774452
2026.07.09 08:30:00,20,1.14323,1.14334,1.14308,19,6,LOW_FIRST,2975869144084436276
2026.07.09 08:35:00,20,1.14334,1.14335,1.14318,2,11,HIGH_FIRST,9019134894318716812
2026.07.09 08:40:00,20,1.14332,1.14333,1.14298,2,11,HIGH_FIRST,12848479649592406221
2026.07.09 08:45:00,20,1.14317,1.14330,1.14314,19,3,LOW_FIRST,2669920184932996880
2026.07.09 08:50:00,20,1.14330,1.14338,1.14320,3,11,HIGH_FIRST,15134615072404900337
2026.07.09 08:55:00,20,1.14327,1.14327,1.14292,0,15,HIGH_FIRST,17675842895359347900
2026.07.09 09:00:00,20,1.14308,1.14370,1.14308,14,0,LOW_FIRST,11844343559045574821
2026.07.09 09:05:00,20,1.14358,1.14364,1.14344,10,6,LOW_FIRST,11976680175559233631
2026.07.09 09:10:00,20,1.14359,1.14361,1.14328,2,19,HIGH_FIRST,4169574571706715492
2026.07.09 09:15:00,20,1.14344,1.14369,1.14337,7,2,LOW_FIRST,1797537670341819535
2026.07.09 09:20:00,20,1.14359,1.14456,1.14355,18,2,LOW_FIRST,10338404161577078365
