trade_id,pattern_id,direction,candle_1,candle_2,candle_3,signal_time,entry_time,reference,sweep,rejection,entry,stop,target,theo_lot,capped_lot,final_lot,planned_risk,actual_risk,margin_req,margin_avail,exit_time,exit_price,exit_reason,pnl,R
1206,P2_EURUSD_1711560000,SELL,2024.03.27 17:10:00,2024.03.27 17:15:00,2024.03.27 17:20:00,2024.03.27 17:20:00,2024.03.27 17:25:00,1.08205,1.08215,1.08194,1.08194,1.08220,1.08142,0.81,0.81,0.81,21.32,21.06,876.37,2131.79,2024.03.27 17:42:18,1.08220,STOP,-21.06,-1.000
1207,P2_EURUSD_1711575600,SELL,2024.03.27 21:30:00,2024.03.27 21:35:00,2024.03.27 21:40:00,2024.03.27 21:40:00,2024.03.27 21:45:00,1.08243,1.08249,1.08245,1.08243,1.08254,1.08221,1.91,1.91,1.91,21.11,21.01,2067.44,2110.73,2024.03.27 21:49:38,1.08254,STOP,-21.01,-1.000
1208,P2_EURUSD_1711577100,SELL,2024.03.27 21:55:00,2024.03.27 22:00:00,2024.03.27 22:05:00,2024.03.27 22:05:00,2024.03.27 22:10:00,1.08276,1.08290,1.08274,1.08274,1.08295,1.08232,0.99,0.99,0.99,20.90,20.79,1071.91,2089.72,2024.03.28 00:00:18,1.08212,TARGET,58.41,2.810
1209,P1_EURUSD_1711584900,BUY,2024.03.28 00:05:00,2024.03.28 00:10:00,2024.03.28 00:15:00,2024.03.28 00:15:00,2024.03.28 00:20:00,1.08146,1.08119,1.08154,1.08167,1.08114,1.08273,0.40,0.40,0.40,21.48,21.20,432.67,2148.13,2024.03.28 00:47:44,1.08111,STOP,-22.40,-1.057
1210,P1_EURUSD_1711587000,BUY,2024.03.28 00:40:00,2024.03.28 00:45:00,2024.03.28 00:50:00,2024.03.28 00:50:00,2024.03.28 00:55:00,1.08130,1.08101,1.08105,1.08114,1.08096,1.08150,1.18,1.18,1.18,21.26,21.24,1275.75,2125.73,2024.03.28 02:08:20,1.08095,STOP,-22.42,-1.056
1211,P1_EURUSD_1711592100,BUY,2024.03.28 02:05:00,2024.03.28 02:10:00,2024.03.28 02:15:00,2024.03.28 02:15:00,2024.03.28 02:20:00,1.08095,1.08080,1.08090,1.08093,1.08075,1.08129,1.16,1.16,1.16,21.03,20.88,1253.88,2103.31,2024.03.28 02:25:37,1.08129,TARGET,41.76,2.000
1212,P2_EURUSD_1711593300,SELL,2024.03.28 02:25:00,2024.03.28 02:30:00,2024.03.28 02:35:00,2024.03.28 02:35:00,2024.03.28 02:40:00,1.08148,1.08155,1.08148,1.08149,1.08160,1.08127,1.95,1.95,1.95,21.45,21.45,2108.91,2145.07,2024.03.28 02:49:00,1.08160,STOP,-21.45,-1.000
1213,P2_EURUSD_1711594500,SELL,2024.03.28 02:45:00,2024.03.28 02:50:00,2024.03.28 02:55:00,2024.03.28 02:55:00,2024.03.28 03:00:00,1.08162,1.08200,1.08175,1.08175,1.08205,1.08115,0.70,0.70,0.70,21.24,21.00,757.23,2123.62,2024.03.28 04:13:05,1.08205,STOP,-21.00,-1.000
1214,P1_EURUSD_1711601400,BUY,2024.03.28 04:40:00,2024.03.28 04:45:00,2024.03.28 04:50:00,2024.03.28 04:50:00,2024.03.28 04:55:00,1.08227,1.08210,1.08227,1.08229,1.08205,1.08277,0.87,0.87,0.87,21.03,20.88,941.59,2102.62,2024.03.28 06:02:22,1.08205,STOP,-20.88,-1.000
1215,P1_EURUSD_1711610100,BUY,2024.03.28 07:05:00,2024.03.28 07:10:00,2024.03.28 07:15:00,2024.03.28 07:15:00,2024.03.28 07:20:00,1.08226,1.08223,1.08232,1.08232,1.08218,1.08260,1.48,1.48,1.48,20.82,20.72,1601.83,2081.74,2024.03.28 07:49:45,1.08260,TARGET,41.44,2.000
1216,P1_EURUSD_1711613400,BUY,2024.03.28 08:00:00,2024.03.28 08:05:00,2024.03.28 08:10:00,2024.03.28 08:10:00,2024.03.28 08:15:00,1.08226,1.08211,1.08211,1.08212,1.08206,1.08224,3.53,1.53,1.53,21.23,9.18,1655.64,2123.18,2024.03.28 08:16:58,1.08206,STOP,-9.18,-1.000
1217,P1_EURUSD_1711614900,BUY,2024.03.28 08:25:00,2024.03.28 08:30:00,2024.03.28 08:35:00,2024.03.28 08:35:00,2024.03.28 08:40:00,1.08201,1.08184,1.08190,1.08194,1.08179,1.08224,1.40,1.40,1.40,21.14,21.00,1514.72,2114.00,2024.03.28 08:45:39,1.08179,STOP,-21.00,-1.000
1218,P1_EURUSD_1711617900,BUY,2024.03.28 09:15:00,2024.03.28 09:20:00,2024.03.28 09:25:00,2024.03.28 09:25:00,2024.03.28 09:30:00,1.08049,1.08029,1.08041,1.08043,1.08024,1.08081,1.10,1.10,1.10,20.93,20.90,1188.47,2093.00,2024.03.28 09:32:46,1.08023,STOP,-22.00,-1.053
