id,dir,entry,stop,risk,pl,R
1090,BUY,1.07161,1.07061,100.00,100.00,1.000
1091,SELL,1.07406,1.07506,100.00,101.00,1.010
1092,BUY,1.07305,1.07205,100.00,100.00,1.000
1093,BUY,1.07468,1.07368,100.00,-102.00,-1.020
1094,SELL,1.07522,1.07622,100.00,-102.00,-1.020
1095,BUY,1.07575,1.07475,100.00,103.00,1.030
1096,SELL,1.07706,1.07806,100.00,-102.00,-1.020
1097,SELL,1.07846,1.07946,100.00,-144.00,-1.440
1098,SELL,1.07985,1.08085,100.00,-101.00,-1.010
1099,SELL,1.08084,1.08184,100.00,100.00,1.000
1100,BUY,1.07863,1.07763,100.00,98.90,0.989
1101,SELL,1.08270,1.08370,100.00,119.00,1.190
1102,BUY,1.08151,1.08051,100.00,119.00,1.190
1103,SELL,1.08316,1.08416,100.00,101.00,1.010
1104,SELL,1.08227,1.08327,100.00,-100.00,-1.000
1105,BUY,1.08273,1.08173,100.00,-100.00,-1.000
1106,BUY,1.08155,1.08055,100.00,100.00,1.000
1107,SELL,1.08255,1.08355,100.00,-104.00,-1.040
1108,BUY,1.08040,1.07940,100.00,128.00,1.280
1109,SELL,1.08168,1.08268,100.00,-111.00,-1.110
1110,SELL,1.08268,1.08368,100.00,100.00,1.000
1111,BUY,1.08234,1.08134,100.00,102.00,1.020
1112,SELL,1.08381,1.08481,100.00,102.00,1.020
1113,BUY,1.08279,1.08179,100.00,101.00,1.010
1114,SELL,1.08279,1.08379,100.00,102.00,1.020
1115,BUY,1.08102,1.08002,100.00,101.00,1.010
1116,BUY,1.08144,1.08044,100.00,99.30,0.993
1117,SELL,1.08229,1.08329,100.00,-103.00,-1.030
1118,SELL,1.08457,1.08557,100.00,-100.00,-1.000
1119,BUY,1.08490,1.08390,100.00,112.00,1.120
1120,SELL,1.08602,1.08702,100.00,-165.00,-1.650
1121,BUY,1.08824,1.08724,100.00,102.00,1.020
1122,SELL,1.08926,1.09026,100.00,101.00,1.010
1123,BUY,1.08825,1.08725,100.00,-102.00,-1.020
1124,BUY,1.08722,1.08622,100.00,101.00,1.010
1125,SELL,1.08843,1.08943,100.00,100.00,1.000
1126,BUY,1.08743,1.08643,100.00,-100.00,-1.000
1127,BUY,1.08620,1.08520,100.00,99.30,0.993
1128,SELL,1.08720,1.08820,100.00,-100.00,-1.000
1129,BUY,1.08862,1.08762,100.00,-124.00,-1.240
1130,BUY,1.08817,1.08717,100.00,100.00,1.000
1131,BUY,1.08926,1.08826,100.00,101.00,1.010
1132,SELL,1.09088,1.09188,100.00,207.00,2.070
1133,BUY,1.08880,1.08780,100.00,100.00,1.000
1134,SELL,1.09190,1.09290,100.00,100.00,1.000
1135,BUY,1.09079,1.08979,100.00,100.00,1.000
1136,BUY,1.09169,1.09069,100.00,-109.00,-1.090
1137,SELL,1.09085,1.09185,100.00,101.00,1.010
1138,BUY,1.08984,1.08884,100.00,-100.70,-1.007
1139,BUY,1.08984,1.08884,100.00,-100.00,-1.000
1140,BUY,1.08941,1.08841,100.00,100.00,1.000
1141,SELL,1.09002,1.09102,100.00,113.00,1.130
1142,BUY,1.08889,1.08789,100.00,-105.00,-1.050
1143,BUY,1.08998,1.08898,100.00,100.00,1.000
1144,SELL,1.09110,1.09210,100.00,-101.00,-1.010
1145,SELL,1.09210,1.09310,100.00,-100.00,-1.000
1146,SELL,1.09331,1.09431,100.00,-100.00,-1.000
1147,BUY,1.09342,1.09242,100.00,100.00,1.000
1148,SELL,1.09460,1.09560,100.00,100.00,1.000
1149,SELL,1.09328,1.09428,100.00,99.00,0.990
1150,SELL,1.09117,1.09217,100.00,100.00,1.000
1151,BUY,1.09004,1.08904,100.00,-101.70,-1.017
1152,SELL,1.08903,1.09003,100.00,106.00,1.060
1153,BUY,1.08797,1.08697,100.00,100.00,1.000
1154,BUY,1.08871,1.08771,100.00,-102.00,-1.020
1155,SELL,1.08890,1.08990,100.00,-100.00,-1.000
1156,BUY,1.08754,1.08654,100.00,102.00,1.020
1157,BUY,1.08773,1.08673,100.00,-101.00,-1.010
