id,dir,entry,stop,risk,pl,R
1456,SELL,1.10182,1.10278,96.00,108.00,1.125
1457,BUY,1.10073,1.09974,99.00,101.00,1.020
1458,BUY,1.10088,1.09989,99.00,104.00,1.051
1459,SELL,1.10217,1.10317,100.00,102.00,1.020
1460,SELL,1.10189,1.10287,98.00,-99.00,-1.010
1461,SELL,1.10301,1.10400,99.00,-99.00,-1.000
1462,SELL,1.10397,1.10495,98.00,102.00,1.041
1463,BUY,1.10294,1.10195,99.00,102.00,1.030
1464,BUY,1.10344,1.10245,99.00,101.00,1.020
1465,SELL,1.10454,1.10553,99.00,102.00,1.030
1466,BUY,1.10320,1.10220,100.00,101.00,1.010
1467,SELL,1.10454,1.10551,97.00,-98.00,-1.010
1468,SELL,1.10548,1.10647,99.00,-99.00,-1.000
1469,BUY,1.10784,1.10684,100.00,-100.00,-1.000
1470,SELL,1.10869,1.10968,99.00,101.00,1.020
1471,SELL,1.10964,1.11063,99.00,102.00,1.030
1472,SELL,1.10991,1.11091,100.00,100.00,1.000
1473,BUY,1.10877,1.10779,98.00,-98.00,-1.000
1474,SELL,1.10803,1.10903,100.00,-101.00,-1.010
1475,SELL,1.11158,1.11256,98.00,-98.00,-1.000
1476,SELL,1.11285,1.11385,100.00,101.00,1.010
1477,BUY,1.11268,1.11171,97.00,-97.00,-1.000
1478,BUY,1.11212,1.11113,99.00,104.00,1.051
1479,SELL,1.11336,1.11432,96.00,-102.00,-1.062
1480,SELL,1.11436,1.11536,100.00,103.00,1.030
1481,BUY,1.11294,1.11214,80.00,121.00,1.512
1482,BUY,1.11201,1.11102,99.00,101.30,1.023
1483,SELL,1.11250,1.11350,100.00,-100.00,-1.000
1484,BUY,1.11252,1.11152,100.00,101.00,1.010
1485,BUY,1.11307,1.11208,99.00,-99.00,-1.000
1486,BUY,1.11178,1.11080,98.00,-98.00,-1.000
1487,BUY,1.11153,1.11057,96.00,106.00,1.104
1488,SELL,1.11263,1.11363,100.00,-189.00,-1.890
1489,SELL,1.11438,1.11509,71.00,-189.00,-2.662
1490,SELL,1.11636,1.11736,100.00,-100.00,-1.000
1491,SELL,1.11693,1.11790,97.00,105.00,1.082
1492,SELL,1.11676,1.11772,96.00,-97.00,-1.010
1493,BUY,1.11709,1.11609,100.00,100.00,1.000
1494,SELL,1.11809,1.11909,100.00,102.00,1.020
1495,BUY,1.11748,1.11665,83.00,-84.00,-1.012
1496,BUY,1.11667,1.11568,99.00,-99.00,-1.000
1497,BUY,1.11549,1.11453,96.00,105.00,1.094
1498,SELL,1.11654,1.11753,99.00,106.00,1.071
1499,BUY,1.11484,1.11384,100.00,-100.00,-1.000
1500,BUY,1.11393,1.11297,96.00,-97.00,-1.010
1501,BUY,1.11298,1.11201,97.00,108.00,1.113
1502,SELL,1.11445,1.11533,88.00,113.00,1.284
1503,BUY,1.11328,1.11232,96.00,-104.00,-1.083
1504,SELL,1.11320,1.11420,100.00,103.00,1.030
1505,BUY,1.11189,1.11089,100.00,-102.00,-1.020
1506,BUY,1.11053,1.10955,98.00,104.00,1.061
1507,BUY,1.11079,1.10980,99.00,-100.00,-1.010
1508,BUY,1.10955,1.10855,100.00,-100.00,-1.000
1509,BUY,1.10886,1.10786,100.00,-100.00,-1.000
1510,BUY,1.10768,1.10669,99.00,101.00,1.020
1511,SELL,1.10911,1.11011,100.00,-100.00,-1.000
1512,SELL,1.11099,1.11197,98.00,-98.00,-1.000
1513,SELL,1.11410,1.11510,100.00,-102.00,-1.020
1514,BUY,1.11442,1.11345,97.00,103.00,1.062
1515,SELL,1.11631,1.11730,99.00,-99.00,-1.000
1516,SELL,1.11748,1.11848,100.00,101.00,1.010
1517,BUY,1.11646,1.11547,99.00,-110.00,-1.111
1518,BUY,1.11540,1.11440,100.00,-121.00,-1.210
1519,BUY,1.11446,1.11356,90.00,-91.00,-1.011
1520,BUY,1.11361,1.11261,100.00,-101.00,-1.010
1521,SELL,1.11312,1.11410,98.00,102.00,1.041
1522,BUY,1.11207,1.11110,97.00,104.00,1.072
1523,SELL,1.11312,1.11411,99.00,101.00,1.020
1524,BUY,1.11180,1.11085,95.00,105.00,1.105
1525,SELL,1.11322,1.11422,100.00,100.00,1.000
1526,BUY,1.11222,1.11122,100.00,100.00,1.000
1527,BUY,1.11271,1.11171,100.00,101.00,1.010
