id,dir,entry,stop,risk,pl,R
853,SELL,1.07258,1.07358,8.00,-8.00,-1.000
854,BUY,1.07399,1.07299,7.00,-7.14,-1.020
855,SELL,1.07276,1.07376,7.00,-7.00,-1.000
856,BUY,1.07376,1.07276,6.00,6.06,1.010
857,BUY,1.07485,1.07385,7.00,7.14,1.020
858,BUY,1.07608,1.07508,7.00,7.00,1.000
859,BUY,1.07708,1.07608,8.00,-8.00,-1.000
860,BUY,1.07707,1.07607,7.00,7.00,1.000
861,BUY,1.07808,1.07708,8.00,8.00,1.000
862,BUY,1.07908,1.07808,8.00,9.20,1.150
863,BUY,1.08030,1.07930,9.00,9.09,1.010
864,BUY,1.08170,1.08070,10.00,-10.10,-1.010
865,BUY,1.08082,1.07982,9.00,-9.00,-1.000
866,SELL,1.07979,1.08079,8.00,-8.08,-1.010
867,SELL,1.08027,1.08127,8.00,-8.00,-1.000
868,BUY,1.08139,1.08039,7.00,7.00,1.000
869,SELL,1.08198,1.08298,7.00,-7.14,-1.020
870,BUY,1.08300,1.08200,7.00,6.92,0.989
871,BUY,1.08422,1.08322,7.00,7.07,1.010
872,BUY,1.08528,1.08428,8.00,8.00,1.000
873,BUY,1.08646,1.08546,9.00,-9.09,-1.010
874,BUY,1.08560,1.08460,8.00,8.00,1.000
875,BUY,1.08660,1.08560,9.00,9.18,1.020
876,BUY,1.08764,1.08664,9.00,-9.09,-1.010
877,SELL,1.08606,1.08706,9.00,9.09,1.010
878,SELL,1.08504,1.08604,9.00,9.00,1.000
879,BUY,1.08393,1.08293,10.00,-16.47,-1.647
880,SELL,1.08321,1.08421,9.00,-9.00,-1.000
881,SELL,1.08341,1.08441,8.00,-8.00,-1.000
882,SELL,1.08374,1.08474,7.00,7.00,1.000
883,SELL,1.08253,1.08353,8.00,-8.08,-1.010
884,BUY,1.08392,1.08292,7.00,-10.57,-1.510
885,SELL,1.08241,1.08341,6.00,6.54,1.090
886,SELL,1.08041,1.08141,7.00,-7.14,-1.020
887,BUY,1.08143,1.08043,6.00,-6.12,-1.020
888,SELL,1.08041,1.08141,6.00,6.00,1.000
889,SELL,1.07933,1.08033,6.00,-6.12,-1.020
890,BUY,1.08039,1.07939,6.00,6.18,1.030
891,BUY,1.08157,1.08057,6.00,6.00,1.000
892,BUY,1.08259,1.08159,7.00,-7.07,-1.010
893,BUY,1.08232,1.08132,6.00,6.00,1.000
894,BUY,1.08334,1.08234,7.00,7.00,1.000
895,BUY,1.08435,1.08335,7.00,-7.00,-1.000
896,SELL,1.08333,1.08433,7.00,6.93,0.990
897,BUY,1.08270,1.08170,7.00,7.00,1.000
898,SELL,1.08314,1.08414,8.00,8.00,1.000
899,SELL,1.08211,1.08311,9.00,-9.00,-1.000
900,SELL,1.08296,1.08396,8.00,-8.16,-1.020
901,BUY,1.08398,1.08298,7.00,7.14,1.020
902,BUY,1.08504,1.08404,8.00,8.08,1.010
903,SELL,1.08543,1.08643,8.00,-12.24,-1.530
904,SELL,1.08539,1.08639,7.00,-8.33,-1.190
905,SELL,1.08545,1.08645,7.00,-7.07,-1.010
906,BUY,1.08638,1.08538,6.00,6.00,1.000
907,BUY,1.08739,1.08639,7.00,7.00,1.000
908,BUY,1.08840,1.08740,7.00,-7.14,-1.020
909,SELL,1.08734,1.08834,7.00,7.21,1.030
910,SELL,1.08631,1.08731,7.00,7.00,1.000
911,BUY,1.08573,1.08473,8.00,-17.82,-2.228
912,SELL,1.08279,1.08379,6.00,6.06,1.010
913,SELL,1.07962,1.08062,7.00,7.07,1.010
914,SELL,1.07858,1.07958,7.00,-7.14,-1.020
915,BUY,1.07960,1.07860,7.00,-7.14,-1.020
916,SELL,1.07848,1.07948,6.00,6.00,1.000
917,SELL,1.07747,1.07847,7.00,7.14,1.020
918,SELL,1.07644,1.07744,7.00,-7.00,-1.000
919,SELL,1.07698,1.07798,7.00,7.21,1.030
920,SELL,1.07594,1.07694,7.00,7.00,1.000
921,SELL,1.07477,1.07577,8.00,-8.08,-1.010
922,BUY,1.07578,1.07478,7.00,-7.07,-1.010
923,SELL,1.07417,1.07517,7.00,7.00,1.000
924,SELL,1.07306,1.07406,7.00,-7.14,-1.020
925,BUY,1.07408,1.07308,7.00,7.00,1.000
926,BUY,1.07509,1.07409,7.00,-7.07,-1.010
927,BUY,1.07451,1.07351,7.00,-7.00,-1.000
928,SELL,1.07351,1.07451,6.00,-6.06,-1.010
929,SELL,1.07398,1.07498,5.00,5.00,1.000
930,SELL,1.07296,1.07396,6.00,-6.00,-1.000
931,BUY,1.07406,1.07306,5.00,-5.00,-1.000
932,SELL,1.07279,1.07379,5.00,5.30,1.060
933,SELL,1.07169,1.07269,5.00,-5.00,-1.000
934,SELL,1.07204,1.07304,5.00,-6.00,-1.200
935,BUY,1.07324,1.07224,4.00,4.16,1.040
936,BUY,1.07432,1.07332,5.00,-5.10,-1.020
937,SELL,1.07330,1.07430,4.00,-4.00,-1.000
938,BUY,1.07430,1.07330,4.00,-4.20,-1.050
939,SELL,1.07325,1.07425,4.00,-4.12,-1.030
940,BUY,1.07419,1.07319,3.00,3.00,1.000
941,BUY,1.07523,1.07423,4.00,-4.04,-1.010
942,SELL,1.07422,1.07522,3.00,3.00,1.000
943,SELL,1.07314,1.07414,3.00,3.03,1.010
944,SELL,1.07210,1.07310,4.00,4.04,1.010
945,SELL,1.07109,1.07209,4.00,4.00,1.000
946,SELL,1.07002,1.07102,4.00,-4.04,-1.010
947,BUY,1.07103,1.07003,4.00,4.16,1.040
948,BUY,1.07208,1.07108,4.00,4.00,1.000
949,BUY,1.07324,1.07224,5.00,-5.89,-1.178
950,BUY,1.07269,1.07169,4.00,-4.00,-1.000
951,SELL,1.07082,1.07182,4.00,4.00,1.000
952,SELL,1.06981,1.07081,4.00,4.00,1.000
953,SELL,1.06871,1.06971,5.00,5.05,1.010
954,BUY,1.06794,1.06694,5.00,-5.15,-1.030
955,SELL,1.06689,1.06789,5.00,5.00,1.000
956,SELL,1.06589,1.06689,5.00,5.00,1.000
957,SELL,1.06489,1.06589,6.00,-6.06,-1.010
958,SELL,1.06530,1.06630,5.00,5.15,1.030
959,SELL,1.06425,1.06525,5.00,5.10,1.020
960,BUY,1.06374,1.06274,6.00,-6.00,-1.000
961,SELL,1.06269,1.06369,5.00,-5.05,-1.010
962,BUY,1.06404,1.06304,5.00,5.05,1.010
963,BUY,1.06506,1.06406,5.00,-5.05,-1.010
964,BUY,1.06438,1.06338,5.00,-5.49,-1.098
965,SELL,1.06329,1.06429,4.00,-4.16,-1.040
966,BUY,1.06433,1.06333,4.00,4.04,1.010
967,BUY,1.06535,1.06435,4.00,4.04,1.010
968,BUY,1.06637,1.06537,5.00,-5.15,-1.030
969,SELL,1.06526,1.06626,4.00,-4.04,-1.010
970,BUY,1.06634,1.06534,4.00,-4.00,-1.000
971,BUY,1.06555,1.06455,4.00,-4.76,-1.190
972,SELL,1.06436,1.06536,3.00,3.03,1.010
973,SELL,1.06379,1.06479,3.00,-3.00,-1.000
974,BUY,1.06479,1.06379,3.00,3.00,1.000
975,BUY,1.06582,1.06482,3.00,-3.00,-1.000
976,SELL,1.06471,1.06571,3.00,3.03,1.010
977,SELL,1.06369,1.06469,3.00,3.03,1.010
978,BUY,1.06315,1.06215,4.00,4.08,1.020
979,BUY,1.06433,1.06333,4.00,-4.00,-1.000
980,SELL,1.06279,1.06379,4.00,4.00,1.000
981,SELL,1.06147,1.06247,4.00,4.04,1.010
982,BUY,1.06082,1.05982,4.00,4.04,1.010
983,SELL,1.06121,1.06221,5.00,-5.00,-1.000
984,BUY,1.06221,1.06121,4.00,-4.08,-1.020
985,SELL,1.06126,1.06226,4.00,-4.08,-1.020
986,BUY,1.06228,1.06128,4.00,-4.00,-1.000
987,BUY,1.06172,1.06072,3.00,3.03,1.010
988,BUY,1.06275,1.06175,4.00,4.08,1.020
989,BUY,1.06379,1.06279,4.00,4.00,1.000
990,BUY,1.06493,1.06393,4.00,-4.00,-1.000
991,SELL,1.06385,1.06485,4.00,4.00,1.000
992,SELL,1.06284,1.06384,4.00,-4.04,-1.010
993,BUY,1.06385,1.06285,4.00,-4.00,-1.000
994,SELL,1.06285,1.06385,4.00,-4.12,-1.030
995,BUY,1.06388,1.06288,3.00,-3.00,-1.000
996,BUY,1.06336,1.06236,3.00,-3.00,-1.000
997,SELL,1.06236,1.06336,3.00,3.00,1.000
998,SELL,1.06105,1.06205,3.00,-3.06,-1.020
999,BUY,1.06207,1.06107,3.00,3.06,1.020
1000,BUY,1.06311,1.06211,3.00,-3.00,-1.000
1001,SELL,1.06209,1.06309,3.00,-3.09,-1.030
1002,BUY,1.06312,1.06212,2.00,-2.00,-1.000
1003,SELL,1.06212,1.06312,2.00,-2.34,-1.170
1004,SELL,1.06141,1.06241,2.00,-2.16,-1.080
1005,BUY,1.06249,1.06149,2.00,-2.02,-1.010
1006,BUY,1.06232,1.06132,2.00,-2.00,-1.000
1007,BUY,1.06186,1.06086,1.00,1.02,1.020
1008,BUY,1.06289,1.06189,2.00,-2.00,-1.000
1009,BUY,1.06151,1.06051,1.00,1.01,1.010
1010,BUY,1.06261,1.06161,1.00,1.00,1.000
1011,BUY,1.06365,1.06265,2.00,-2.14,-1.070
1012,SELL,1.06258,1.06358,1.00,-1.00,-1.000
1013,BUY,1.06358,1.06258,1.00,1.02,1.020
1014,BUY,1.06462,1.06362,1.00,-1.04,-1.040
1015,SELL,1.06358,1.06458,1.00,-1.00,-1.000
1016,BUY,1.06458,1.06358,1.00,-1.00,-1.000
1017,SELL,1.06344,1.06444,1.00,-1.00,-1.000
1018,BUY,1.06444,1.06344,1.00,-1.00,-1.000
1019,SELL,1.06344,1.06444,1.00,-1.00,-1.000
1020,SELL,1.06423,1.06523,1.00,-1.01,-1.010
1021,BUY,1.06538,1.06438,1.00,1.00,1.000
1022,BUY,1.06639,1.06539,1.00,1.00,1.000
1023,BUY,1.06754,1.06654,1.00,-1.02,-1.020
1024,SELL,1.06652,1.06752,1.00,-1.11,-1.110
1025,SELL,1.06673,1.06773,1.00,-1.00,-1.000
1026,BUY,1.06843,1.06743,1.00,-1.01,-1.010
1027,SELL,1.06736,1.06836,1.00,1.00,1.000
1028,SELL,1.06634,1.06734,1.00,1.00,1.000
1029,SELL,1.06533,1.06633,1.00,-1.00,-1.000
1030,SELL,1.06584,1.06684,1.00,1.00,1.000
1031,SELL,1.06472,1.06572,1.00,0.99,0.990
1032,SELL,1.06370,1.06470,1.00,1.01,1.010
1033,SELL,1.06242,1.06342,1.00,1.02,1.020
1034,BUY,1.06178,1.06078,1.00,1.01,1.010
1035,BUY,1.06283,1.06183,1.00,1.00,1.000
1036,BUY,1.06399,1.06299,1.00,-1.01,-1.010
1037,SELL,1.06276,1.06376,1.00,-1.00,-1.000
1038,BUY,1.06376,1.06276,1.00,1.01,1.010
1039,BUY,1.06478,1.06378,1.00,1.00,1.000
1040,SELL,1.06523,1.06623,1.00,-1.01,-1.010
1041,BUY,1.06624,1.06524,1.00,1.00,1.000
1042,SELL,1.06678,1.06778,1.00,1.03,1.030
1043,SELL,1.06557,1.06657,1.00,1.01,1.010
1044,SELL,1.06454,1.06554,1.00,-1.02,-1.020
1045,BUY,1.06565,1.06465,1.00,-1.00,-1.000
1046,SELL,1.06496,1.06596,1.00,-1.32,-1.320
1047,SELL,1.06478,1.06578,1.00,-1.37,-1.370
1048,BUY,1.06665,1.06565,1.00,-1.01,-1.010
1049,BUY,1.06653,1.06553,1.00,-1.10,-1.100
1050,SELL,1.06543,1.06643,1.00,-1.02,-1.020
1051,SELL,1.06546,1.06646,1.00,-1.01,-1.010
1052,BUY,1.06647,1.06547,1.00,-1.02,-1.020
