id,dir,entry,stop,risk,pl,R
1392,BUY,1.07662,1.07562,100.00,-100.00,-1.000
1393,BUY,1.07562,1.07462,100.00,-102.00,-1.020
1394,BUY,1.07457,1.07357,100.00,100.00,1.000
1395,BUY,1.07512,1.07412,100.00,-100.00,-1.000
1396,BUY,1.07402,1.07302,100.00,-100.00,-1.000
1397,BUY,1.07302,1.07202,100.00,-101.00,-1.010
1398,SELL,1.07255,1.07355,100.00,-102.00,-1.020
1399,SELL,1.07406,1.07506,100.00,-101.00,-1.010
1400,SELL,1.07496,1.07596,100.00,-100.00,-1.000
1401,SELL,1.07601,1.07701,100.00,-350.00,-3.500
1402,SELL,1.07944,1.08044,100.00,-113.00,-1.130
1403,SELL,1.08211,1.08311,100.00,101.00,1.010
1404,SELL,1.08208,1.08308,100.00,101.00,1.010
1405,SELL,1.08143,1.08243,100.00,-100.00,-1.000
1406,SELL,1.08243,1.08343,100.00,-100.00,-1.000
1407,SELL,1.08343,1.08443,100.00,100.00,1.000
1408,BUY,1.08243,1.08143,100.00,100.00,1.000
1409,SELL,1.08343,1.08443,100.00,-102.00,-1.020
1410,SELL,1.08445,1.08545,100.00,200.00,2.000
1411,BUY,1.08245,1.08145,100.00,103.00,1.030
1412,BUY,1.08243,1.08143,100.00,100.00,1.000
1413,SELL,1.08343,1.08443,100.00,102.00,1.020
1414,SELL,1.08303,1.08403,100.00,102.00,1.020
1415,BUY,1.08201,1.08101,100.00,-108.00,-1.080
1416,BUY,1.08098,1.07998,100.00,101.00,1.010
1417,SELL,1.08199,1.08299,100.00,103.00,1.030
1418,BUY,1.08096,1.07996,100.00,-102.10,-1.021
1419,BUY,1.07977,1.07877,100.00,-101.00,-1.010
1420,BUY,1.07878,1.07778,100.00,116.00,1.160
1421,SELL,1.07994,1.08094,100.00,-106.00,-1.060
1422,SELL,1.08134,1.08234,100.00,101.00,1.010
1423,BUY,1.08033,1.07933,100.00,-102.00,-1.020
1424,BUY,1.07931,1.07831,100.00,100.00,1.000
1425,SELL,1.08031,1.08131,100.00,100.00,1.000
1426,BUY,1.07911,1.07811,100.00,-101.00,-1.010
1427,BUY,1.07788,1.07688,100.00,-104.00,-1.040
1428,BUY,1.07672,1.07572,100.00,-100.00,-1.000
1429,BUY,1.07572,1.07472,100.00,-100.00,-1.000
1430,BUY,1.07472,1.07372,100.00,-100.00,-1.000
1431,BUY,1.07362,1.07262,100.00,-101.70,-1.017
1432,BUY,1.07210,1.07110,100.00,-100.00,-1.000
1433,BUY,1.07111,1.07011,100.00,-102.00,-1.020
1434,BUY,1.06968,1.06868,100.00,-102.00,-1.020
1435,BUY,1.06868,1.06768,100.00,-100.00,-1.000
1436,BUY,1.06768,1.06668,100.00,100.00,1.000
1437,BUY,1.06843,1.06743,100.00,107.00,1.070
1438,SELL,1.06950,1.07050,100.00,-109.00,-1.090
1439,BUY,1.06972,1.06872,100.00,-101.00,-1.010
1440,BUY,1.06871,1.06771,100.00,-100.00,-1.000
1441,BUY,1.06770,1.06670,100.00,102.00,1.020
1442,SELL,1.06872,1.06972,100.00,-100.00,-1.000
1443,BUY,1.06957,1.06857,100.00,100.00,1.000
1444,BUY,1.07059,1.06959,100.00,-100.70,-1.007
1445,BUY,1.06952,1.06852,100.00,108.00,1.080
1446,SELL,1.07065,1.07165,100.00,100.00,1.000
1447,BUY,1.06965,1.06865,100.00,100.00,1.000
1448,SELL,1.07073,1.07173,100.00,-101.00,-1.010
1449,SELL,1.07174,1.07274,100.00,101.00,1.010
1450,SELL,1.07111,1.07211,100.00,-100.00,-1.000
1451,SELL,1.07226,1.07326,100.00,-100.00,-1.000
1452,SELL,1.07343,1.07443,100.00,99.00,0.990
1453,SELL,1.07302,1.07402,100.00,102.00,1.020
1454,BUY,1.07173,1.07073,100.00,104.00,1.040
1455,SELL,1.07277,1.07377,100.00,-100.00,-1.000
1456,SELL,1.07377,1.07477,100.00,-101.00,-1.010
1457,SELL,1.07490,1.07590,100.00,-103.00,-1.030
1458,SELL,1.07593,1.07693,100.00,100.00,1.000
1459,BUY,1.07493,1.07393,100.00,-100.00,-1.000
1460,BUY,1.07386,1.07286,100.00,-101.70,-1.017
1461,SELL,1.07319,1.07419,100.00,-103.00,-1.030
1462,BUY,1.07403,1.07303,100.00,104.00,1.040
1463,BUY,1.07496,1.07396,100.00,-115.10,-1.151
1464,BUY,1.07469,1.07369,100.00,-106.00,-1.060
1465,BUY,1.07463,1.07363,100.00,-103.00,-1.030
1466,BUY,1.07341,1.07241,100.00,-101.00,-1.010
1467,BUY,1.07168,1.07068,100.00,101.00,1.010
1468,SELL,1.07273,1.07373,100.00,100.00,1.000
1469,BUY,1.07173,1.07073,100.00,104.00,1.040
1470,SELL,1.07277,1.07377,100.00,101.00,1.010
1471,BUY,1.07176,1.07076,100.00,101.00,1.010
1472,SELL,1.07277,1.07377,100.00,100.00,1.000
1473,BUY,1.07177,1.07077,100.00,-100.00,-1.000
1474,BUY,1.07079,1.06979,100.00,100.30,1.003
1475,BUY,1.07148,1.07048,100.00,-101.00,-1.010
1476,BUY,1.07036,1.06936,100.00,-105.00,-1.050
1477,BUY,1.06977,1.06877,100.00,-153.00,-1.530
1478,BUY,1.06870,1.06770,100.00,-104.00,-1.040
1479,BUY,1.06793,1.06693,100.00,100.00,1.000
