time,event,a,b,c,d,e
2026.07.07 05:42:18,EXIT,id=26,STOP,-44.40,R=-1.000,
2026.07.07 06:50:00,ENTRY_ATTEMPT,P1_EURUSD_1783406700,BUY,3.83,1.14369,1.14356
2026.07.07 06:50:00,ENTRY_ACCEPTED,P1_EURUSD_1783406700,id=27,1.14369,lot=3.83,riskP=93.49/A=49.79
2026.07.07 07:21:43,EXIT,id=27,STOP,-53.62,R=-1.077,
2026.07.07 08:30:00,ENTRY_ATTEMPT,P1_EURUSD_1783412700,BUY,4.42,1.14308,1.14287
2026.07.07 08:30:00,ENTRY_ACCEPTED,P1_EURUSD_1783412700,id=28,1.14308,lot=4.42,riskP=92.96/A=92.82
2026.07.07 08:45:45,EXIT,id=28,STOP,-106.08,R=-1.143,
2026.07.07 10:35:00,ENTRY_ATTEMPT,P1_EURUSD_1783420200,BUY,2.04,1.14304,1.14259
2026.07.07 10:35:00,ENTRY_ACCEPTED,P1_EURUSD_1783420200,id=29,1.14304,lot=2.04,riskP=91.90/A=91.80
2026.07.07 10:54:59,EXIT,id=29,STOP,-91.80,R=-1.000,
2026.07.07 11:05:00,ENTRY_ATTEMPT,P1_EURUSD_1783422000,BUY,3.24,1.14271,1.14243
2026.07.07 11:05:00,ENTRY_ACCEPTED,P1_EURUSD_1783422000,id=30,1.14271,lot=3.24,riskP=90.98/A=90.72
2026.07.07 11:20:00,SKIPPED_POSITION_OPEN,P2_EURUSD_1783422900,,,,
2026.07.07 11:22:28,EXIT,id=30,TARGET,181.44,R=2.000,
2026.07.07 12:00:00,ENTRY_ATTEMPT,P1_EURUSD_1783425300,BUY,3.68,1.14281,1.14269
2026.07.07 12:00:00,ENTRY_ACCEPTED,P1_EURUSD_1783425300,id=31,1.14281,lot=3.68,riskP=92.79/A=44.16
2026.07.07 12:01:08,EXIT,id=31,STOP,-44.16,R=-1.000,
2026.07.07 13:25:00,ENTRY_ATTEMPT,P2_EURUSD_1783430400,SELL,3.67,1.14296,1.14308
2026.07.07 13:25:00,ENTRY_ACCEPTED,P2_EURUSD_1783430400,id=32,1.14296,lot=3.67,riskP=92.35/A=44.04
2026.07.07 13:32:21,EXIT,id=32,STOP,-44.04,R=-1.000,
2026.07.07 14:05:00,ENTRY_ATTEMPT,P2_EURUSD_1783432800,SELL,3.79,1.14336,1.14349
