READINESS,connected_and_synced,YES,waited_ms=2010,terminal_connected=1,bars_m1=100000,synced=1,
section,key,v1,v2,v3,v4,v5,v6
ENV,build,6096,,,,,
ENV,company,MetaQuotes Ltd.,,,,,
ENV,server,MetaQuotes-Demo,10012089985,DEMO,,,
PENETRATION,MONTH_B,1.14337,bidUp=1783614600040,askUp=1783614600040,bidDn=1783614676824,askDn=1783614676824,same
PENETRATION,MONTH_B,1.14344,bidUp=1783614600056,askUp=1783614600040,bidDn=1783614600040,askDn=1783614600045,DIVERGENT
PENETRATION,MONTH_B,1.14352,bidUp=1783614633830,askUp=1783614633830,bidDn=1783614600040,askDn=1783614600040,same
PENETRATION,MONTH_B,1.14359,bidUp=1783614642034,askUp=1783614642034,bidDn=1783614600040,askDn=1783614600040,same
PENETRATION,MONTH_B,1.14366,bidUp=1783614642910,askUp=1783614642910,bidDn=1783614600040,askDn=1783614600040,same
PENETRATION,MONTH_B,1.14374,bidUp=1783615772700,askUp=1783615772579,bidDn=1783614600040,askDn=1783614600040,DIVERGENT
PENETRATION,MONTH_B,1.14381,bidUp=1783615892273,askUp=1783615788061,bidDn=1783614600040,askDn=1783614600040,DIVERGENT
PENETRATION,MONTH_B,1.14389,bidUp=1783616249698,askUp=1783616249698,bidDn=1783614600040,askDn=1783614600040,same
PENETRATION,MONTH_B,1.14396,bidUp=1783616401849,askUp=1783616401849,bidDn=1783614600040,askDn=1783614600040,same
PENETRATION,MONTH_B,1.14403,bidUp=1783616423589,askUp=1783616407845,bidDn=1783614600040,askDn=1783614600040,DIVERGENT
PENETRATION,MONTH_B,1.14411,bidUp=1783616447155,askUp=1783616409426,bidDn=1783614600040,askDn=1783614600040,DIVERGENT
PENETRATION,MONTH_B,1.14418,bidUp=1783616449608,askUp=1783616447532,bidDn=1783614600040,askDn=1783614600040,DIVERGENT
PENETRATION,MONTH_B,1.14425,bidUp=1783616463059,askUp=1783616463059,bidDn=1783614600040,askDn=1783614600040,same
PENETRATION,MONTH_B,1.14433,bidUp=1783616468098,askUp=1783616468098,bidDn=1783614600040,askDn=1783614600040,same
PENETRATION,MONTH_B,1.14440,bidUp=1783616473127,askUp=1783616473127,bidDn=1783614600040,askDn=1783614600040,same
PENETRATION,MONTH_B,1.14447,bidUp=1783616637783,askUp=1783616532362,bidDn=1783614600040,askDn=1783614600040,DIVERGENT
PENETRATION,MONTH_B,1.14455,bidUp=1783616684221,askUp=1783616684152,bidDn=1783614600040,askDn=1783614600040,DIVERGENT
PENETRATION,MONTH_B,1.14462,bidUp=1783616689133,askUp=1783616689133,bidDn=1783614600040,askDn=1783614600040,same
PENETRATION,MONTH_B_SUMMARY,10,21,47.6,pct_levels_where_bid_and_ask_rules_differ,,
WINDOW,HALFYEAR_A,2026.02.07 10:00:00,2026.02.07 11:00:00,0,0,ny_off=-4,srv_utc=3
WINDOW,HALFYEAR_A_STATUS,EMPTY_VALID_RANGE_OR_NO_DATA,0,err 0 with n=0 means no error was raised,,,
WINDOW,HALFYEAR_B,2026.02.07 16:30:00,2026.02.07 17:50:00,0,0,ny_off=-4,srv_utc=3
WINDOW,HALFYEAR_B_STATUS,EMPTY_VALID_RANGE_OR_NO_DATA,0,err 0 with n=0 means no error was raised,,,
WINDOW,YEAR_A,2025.08.08 10:00:00,2025.08.08 11:00:00,4364,0,ny_off=-4,srv_utc=3
METRICS,YEAR_A_flagcounts,4364,2998,3035,0,1669,0
METRICS,YEAR_A_onlyflags,1329,1366,only_bid / only_ask,,,
METRICS,YEAR_A_valuecounts,4364,4364,0,values present (not necessarily updated),,
METRICS,YEAR_A_spread,0.00008,0.00014,0.00013,100.00,pct_ticks_with_spread,
PENETRATION,YEAR_A,1.16482,bidUp=1754647200139,askUp=1754647200139,bidDn=1754647968347,askDn=-1,DIVERGENT
PENETRATION,YEAR_A,1.16490,bidUp=1754647200139,askUp=1754647200139,bidDn=1754647885987,askDn=-1,DIVERGENT
PENETRATION,YEAR_A,1.16498,bidUp=1754647201462,askUp=1754647200139,bidDn=1754647200139,askDn=1754647913913,DIVERGENT
PENETRATION,YEAR_A,1.16506,bidUp=1754647268344,askUp=1754647200139,bidDn=1754647200139,askDn=1754647880535,DIVERGENT
PENETRATION,YEAR_A,1.16514,bidUp=1754647344829,askUp=1754647203538,bidDn=1754647200139,askDn=1754647200139,DIVERGENT
PENETRATION,YEAR_A,1.16521,bidUp=1754647366388,askUp=1754647270371,bidDn=1754647200139,askDn=1754647200139,DIVERGENT
PENETRATION,YEAR_A,1.16529,bidUp=1754647373257,askUp=1754647365274,bidDn=1754647200139,askDn=1754647200139,DIVERGENT
PENETRATION,YEAR_A,1.16537,bidUp=1754647447691,askUp=1754647366637,bidDn=1754647200139,askDn=1754647200139,DIVERGENT
PENETRATION,YEAR_A,1.16545,bidUp=1754647544854,askUp=1754647447082,bidDn=1754647200139,askDn=1754647200139,DIVERGENT
PENETRATION,YEAR_A,1.16553,bidUp=1754647553927,askUp=1754647457541,bidDn=1754647200139,askDn=1754647200139,DIVERGENT
PENETRATION,YEAR_A,1.16561,bidUp=1754647569717,askUp=1754647545139,bidDn=1754647200139,askDn=1754647200139,DIVERGENT
PENETRATION,YEAR_A,1.16569,bidUp=1754647611099,askUp=1754647554127,bidDn=1754647200139,askDn=1754647200139,DIVERGENT
PENETRATION,YEAR_A,1.16577,bidUp=1754649172967,askUp=1754647570393,bidDn=1754647200139,askDn=1754647200139,DIVERGENT
PENETRATION,YEAR_A,1.16585,bidUp=1754649198744,askUp=1754647619577,bidDn=1754647200139,askDn=1754647200139,DIVERGENT
PENETRATION,YEAR_A,1.16593,bidUp=1754649201192,askUp=1754649177795,bidDn=1754647200139,askDn=1754647200139,DIVERGENT
PENETRATION,YEAR_A,1.16600,bidUp=1754649224576,askUp=1754649198744,bidDn=1754647200139,askDn=1754647200139,DIVERGENT
PENETRATION,YEAR_A,1.16608,bidUp=1754649452590,askUp=1754649201424,bidDn=1754647200139,askDn=1754647200139,DIVERGENT
PENETRATION,YEAR_A,1.16616,bidUp=1754649476004,askUp=1754649445730,bidDn=1754647200139,askDn=1754647200139,DIVERGENT
PENETRATION,YEAR_A,1.16624,bidUp=1754649537434,askUp=1754649474773,bidDn=1754647200139,askDn=1754647200139,DIVERGENT
PENETRATION,YEAR_A,1.16632,bidUp=1754649601865,askUp=1754649476004,bidDn=1754647200139,askDn=1754647200139,DIVERGENT
PENETRATION,YEAR_A,1.16640,bidUp=1754649723846,askUp=1754649537797,bidDn=1754647200139,askDn=1754647200139,DIVERGENT
PENETRATION,YEAR_A_SUMMARY,21,21,100.0,pct_levels_where_bid_and_ask_rules_differ,,
WINDOW,YEAR_B,2025.08.08 16:30:00,2025.08.08 17:50:00,7202,0,ny_off=-4,srv_utc=3
METRICS,YEAR_B_flagcounts,7202,5040,4942,0,2780,0
METRICS,YEAR_B_onlyflags,2260,2162,only_bid / only_ask,,,
METRICS,YEAR_B_valuecounts,7202,7202,0,values present (not necessarily updated),,
METRICS,YEAR_B_spread,0.00008,0.00014,0.00013,100.00,pct_ticks_with_spread,
PENETRATION,YEAR_B,1.16460,bidUp=1754670600490,askUp=1754670600490,bidDn=1754672406318,askDn=-1,DIVERGENT
PENETRATION,YEAR_B,1.16468,bidUp=1754670600490,askUp=1754670600490,bidDn=1754670949639,askDn=1754672406318,DIVERGENT
PENETRATION,YEAR_B,1.16476,bidUp=1754670600490,askUp=1754670600490,bidDn=1754670795130,askDn=1754672405917,DIVERGENT
PENETRATION,YEAR_B,1.16485,bidUp=1754670600490,askUp=1754670600490,bidDn=1754670629630,askDn=1754670949302,DIVERGENT
PENETRATION,YEAR_B,1.16493,bidUp=1754670600490,askUp=1754670600490,bidDn=1754670612225,askDn=1754670729197,DIVERGENT
PENETRATION,YEAR_B,1.16501,bidUp=1754670600490,askUp=1754670600490,bidDn=1754670604119,askDn=1754670625795,DIVERGENT
PENETRATION,YEAR_B,1.16509,bidUp=1754670673533,askUp=1754670600490,bidDn=1754670600490,askDn=1754670609961,DIVERGENT
PENETRATION,YEAR_B,1.16517,bidUp=1754670867759,askUp=1754670672525,bidDn=1754670600490,askDn=1754670600490,DIVERGENT
PENETRATION,YEAR_B,1.16526,bidUp=1754670867759,askUp=1754670673883,bidDn=1754670600490,askDn=1754670600490,DIVERGENT
PENETRATION,YEAR_B,1.16534,bidUp=1754672533391,askUp=1754670867759,bidDn=1754670600490,askDn=1754670600490,DIVERGENT
PENETRATION,YEAR_B,1.16542,bidUp=1754672551126,askUp=1754670871957,bidDn=1754670600490,askDn=1754670600490,DIVERGENT
PENETRATION,YEAR_B,1.16550,bidUp=1754672648517,askUp=1754672537312,bidDn=1754670600490,askDn=1754670600490,DIVERGENT
PENETRATION,YEAR_B,1.16558,bidUp=1754672689032,askUp=1754672611108,bidDn=1754670600490,askDn=1754670600490,DIVERGENT
PENETRATION,YEAR_B,1.16567,bidUp=1754672782426,askUp=1754672686046,bidDn=1754670600490,askDn=1754670600490,DIVERGENT
PENETRATION,YEAR_B,1.16575,bidUp=1754672805769,askUp=1754672691140,bidDn=1754670600490,askDn=1754670600490,DIVERGENT
