seq,time,event,detail
143,2026.07.09 10:35:30,EXIT,id=20 reason=STOP exit=1.14349 pnl=-90.19 R=-1.000 bal=8930.90
144,2026.07.09 10:55:00,PATTERN_DETECTED,ref=1.14346 l2=1.14324 c2=1.14344 c3=1.14342 t3=2026.07.09 10:50:00 rule=A_prime_K3_strict_left
145,2026.07.09 10:55:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
146,2026.07.09 11:00:00,ENTRY,id=21 entry=1.14356 c3close=1.14342 gap_pts=14.0 sl=1.14323 tp=1.14422 vol=2.70 risk=89.10 tv=SYMBOL_TRADE_TICK_VALUE
147,2026.07.09 11:40:19,EXIT,id=21 reason=STOP exit=1.14323 pnl=-89.10 R=-1.000 bal=8841.80
148,2026.07.09 11:55:00,PATTERN_DETECTED,ref=1.14311 l2=1.14290 c2=1.14293 c3=1.14303 t3=2026.07.09 11:50:00 rule=A_prime_K3_strict_left
149,2026.07.09 11:55:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
150,2026.07.09 12:00:00,SKIPPED_INVALID_STOP,ask<=sl
151,2026.07.09 12:05:00,PATTERN_DETECTED,ref=1.14282 l2=1.14250 c2=1.14266 c3=1.14277 t3=2026.07.09 12:00:00 rule=A_prime_K3_strict_left
152,2026.07.09 12:05:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
153,2026.07.09 12:10:00,SKIPPED_INVALID_STOP,ask<=sl
154,2026.07.09 15:50:00,PATTERN_DETECTED,ref=1.14297 l2=1.14268 c2=1.14284 c3=1.14268 t3=2026.07.09 15:45:00 rule=A_prime_K3_strict_left
155,2026.07.09 15:50:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
156,2026.07.09 15:55:00,SKIPPED_INVALID_STOP,ask<=sl
157,2026.07.09 18:00:00,PATTERN_DETECTED,ref=1.14349 l2=1.14329 c2=1.14334 c3=1.14329 t3=2026.07.09 17:55:00 rule=A_prime_K3_strict_left
158,2026.07.09 18:00:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
159,2026.07.09 18:05:00,SKIPPED_INVALID_STOP,ask<=sl
160,2026.07.09 19:30:00,PATTERN_DETECTED,ref=1.14373 l2=1.14358 c2=1.14364 c3=1.14371 t3=2026.07.09 19:25:00 rule=A_prime_K3_strict_left
161,2026.07.09 19:30:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
162,2026.07.09 19:35:00,SKIPPED_INVALID_STOP,ask<=sl
163,2026.07.09 21:30:00,PATTERN_DETECTED,ref=1.14339 l2=1.14319 c2=1.14330 c3=1.14320 t3=2026.07.09 21:25:00 rule=A_prime_K3_strict_left
164,2026.07.09 21:30:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
165,2026.07.09 21:35:00,ORDER_FAILED,OrderSend=false retcode=10019 err=4756
166,2026.07.09 22:15:00,PATTERN_DETECTED,ref=1.14320 l2=1.14312 c2=1.14316 c3=1.14315 t3=2026.07.09 22:10:00 rule=A_prime_K3_strict_left
167,2026.07.09 22:15:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
168,2026.07.09 22:20:00,ORDER_FAILED,OrderSend=false retcode=10019 err=4756
169,2026.07.09 22:40:00,PATTERN_DETECTED,ref=1.14287 l2=1.14264 c2=1.14271 c3=1.14286 t3=2026.07.09 22:35:00 rule=A_prime_K3_strict_left
170,2026.07.09 22:40:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
171,2026.07.09 22:45:00,ORDER_FAILED,OrderSend=false retcode=10019 err=4756
172,2026.07.10 06:20:00,PATTERN_DETECTED,ref=1.14569 l2=1.14544 c2=1.14561 c3=1.14558 t3=2026.07.10 06:15:00 rule=A_prime_K3_strict_left
173,2026.07.10 06:20:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
174,2026.07.10 06:25:00,SKIPPED_INVALID_STOP,ask<=sl
175,2026.07.10 07:05:00,PATTERN_DETECTED,ref=1.14502 l2=1.14473 c2=1.14495 c3=1.14484 t3=2026.07.10 07:00:00 rule=A_prime_K3_strict_left
176,2026.07.10 07:05:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
177,2026.07.10 07:10:00,ORDER_FAILED,OrderSend=false retcode=10019 err=4756
178,2026.07.10 08:00:00,PATTERN_DETECTED,ref=1.14403 l2=1.14396 c2=1.14401 c3=1.14429 t3=2026.07.10 07:55:00 rule=A_prime_K3_strict_left
179,2026.07.10 08:00:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
180,2026.07.10 08:05:00,ENTRY,id=22 entry=1.14434 c3close=1.14429 gap_pts=5.0 sl=1.14395 tp=1.14512 vol=2.26 risk=88.14 tv=SYMBOL_TRADE_TICK_VALUE
181,2026.07.10 08:17:46,EXIT,id=22 reason=STOP exit=1.14395 pnl=-88.14 R=-1.000 bal=8753.66
182,2026.07.10 08:30:00,PATTERN_DETECTED,ref=1.14394 l2=1.14374 c2=1.14383 c3=1.14380 t3=2026.07.10 08:25:00 rule=A_prime_K3_strict_left
183,2026.07.10 08:30:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
184,2026.07.10 08:35:00,ORDER_FAILED,OrderSend=false retcode=10019 err=4756
185,2026.07.10 09:55:00,PATTERN_DETECTED,ref=1.14400 l2=1.14389 c2=1.14394 c3=1.14408 t3=2026.07.10 09:50:00 rule=A_prime_K3_strict_left
186,2026.07.10 09:55:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
187,2026.07.10 10:00:00,ENTRY,id=23 entry=1.14420 c3close=1.14408 gap_pts=12.0 sl=1.14388 tp=1.14484 vol=2.73 risk=87.36 tv=SYMBOL_TRADE_TICK_VALUE
188,2026.07.10 10:02:25,EXIT,id=23 reason=STOP exit=1.14388 pnl=-87.36 R=-1.000 bal=8666.30
189,2026.07.10 11:30:00,PATTERN_DETECTED,ref=1.14350 l2=1.14331 c2=1.14332 c3=1.14340 t3=2026.07.10 11:25:00 rule=A_prime_K3_strict_left
190,2026.07.10 11:30:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
191,2026.07.10 11:35:00,ENTRY,id=24 entry=1.14349 c3close=1.14340 gap_pts=9.0 sl=1.14330 tp=1.14387 vol=4.56 risk=86.64 tv=SYMBOL_TRADE_TICK_VALUE
